[temtusr@IEMSLAMSREP02 etllogs]$ cat ecm-IEMSLAMSREP02-11-5-2018.log
ERROR : Incomplete data present in SCA for policy S077-C-Fv3.1-W2K8. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-Fv3.1-W2K8. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-Fv3.1-W2K8. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-Fv3.1-W2K8. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-Fv3.1-W2K8. Skipping the policy!
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Total files in temporary file Repository:0
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching data for S077-C-Fv3.0-IT6-WIN
ERROR : Incomplete data present in SCA for policy S077-C-Fv3.0-IT6-WIN. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-Fv3.0-IT6-WIN. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-Fv3.0-IT6-WIN. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-Fv3.0-IT6-WIN. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-Fv3.0-IT6-WIN. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-Fv3.0-IT6-WIN. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-Fv3.0-IT6-WIN. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-Fv3.0-IT6-WIN. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-Fv3.0-IT6-WIN. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-Fv3.0-IT6-WIN. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-Fv3.0-IT6-WIN. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-Fv3.0-IT6-WIN. Skipping the policy!
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Total files in temporary file Repository:0
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching data for S077-C-f-FRAMEWORK-W2K8
ERROR : Incomplete data present in SCA for policy S077-C-f-FRAMEWORK-W2K8. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-f-FRAMEWORK-W2K8. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-f-FRAMEWORK-W2K8. Skipping the policy!
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Total files in temporary file Repository:0
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching data for ITI8-C-Iv9.0-FRAMEWORK-UNX
ERROR : Incomplete data present in SCA for policy ITI8-C-Iv9.0-FRAMEWORK-UNX. Skipping the policy!
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Total files in temporary file Repository:0
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching data for ITI8-C-Iv12.5-AIX
ERROR : Incomplete data present in SCA for policy ITI8-C-Iv12.5-AIX. Skipping the policy!
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Total files in temporary file Repository:0
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching data for ITI8-C-Iv12.2-SSH-UNX
ERROR : Incomplete data present in SCA for policy ITI8-C-Iv12.2-SSH-UNX. Skipping the policy!
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Total files in temporary file Repository:0
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching data for ITI8-C-Iv12.1-IT6-UNX
ERROR : Incomplete data present in SCA for policy ITI8-C-Iv12.1-IT6-UNX. Skipping the policy!
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Total files in temporary file Repository:0
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching data for ITI8-C-Iv12.0-SUDO-UNX
ERROR : Incomplete data present in SCA for policy ITI8-C-Iv12.0-SUDO-UNX. Skipping the policy!
